id	title	release_year	author	pages_start	pages_end
1	Finding Kansas	2008	Aaron Likens	16	122
2	Our Autistic Lives: Personal Accounts from Autistic Adults Around the World Aged 20 to 70+	2020	Alex Ratcliffe	10	156
3	Unbroken: Learning to Live Beyond Diagnosis	2018	Alexis Quinn	10	319
4	The Girl with the Curly Hair: Asperger's and Me	2013	Alis Rowe	13	206
5	The Secret Life of a Black Aspie: A Memoir	2017	Anand Prahlad	10	145
6	What I Mean When I Say I'm Autistic: Unpuzzling a Life on the Autism Spectrum	2022	Annie Kotowicz	6	72
7	Voices from the Spectrum: Parents, Grandparents, Siblings, People with Autism, and Professionals Share Their Wisdom	2006	Ariel Cindy, Naseef Robert	13	264
8	Carly's Voice: Breaking Through Autism	2012	Arthur Fleischmann, Carly Fleischmann	16	299
9	Sincerely, Your Autistic Child	2021	Autistic Women and Nonbinary Network	15	187
10	Spectrum Women: Walking to the Beat of Autism	2018	Barb Cook and Dr Michelle Garnett	11	179
11	A Blessing and a Curse: Autism and Me	2007	Caiseal Mor	11	210
12	The Spectrum Girl's Survival Guide	2020	Castellon Siena	8	143
13	How to be Autistic	2019	Charlotte Amelia Poe	12	98
14	Different, Not Less	2022	Chloé Hayden	10	153
15	Glass Half Empty, Glass Half Full: How Asperger's Syndrome Changed My Life	2005	Chris Mitchell	14	102
16	Too Much World How I Survive As An Autistic Girl	2020	Claire Murphy	5	137
17	Late Bloomer	2021	Clem Bastow	6	142
18	Fitting In	2016	Colin Thompson	11	227
19	Nerdy, shy, and socially inappropriate: A user guide to an Asperger life	2015	Cynthia Kim	10	134
20	On the Spectrum, Autism, Faith, and the Gifts of Neurodiversity	2021	Daniel Bowman Jr.	24	144
21	Thinking In Numbers: On Life, Love, Meaning, and Math	2012	Daniel Tammet	19	287
22	The Journal of Best Practices	2012	David Finch	8	134
23	Do Lemons Have Feathers?	2016	David J. Burns	10	89
24	Aquamarine Blue 5: Personal Stories of College Students with Autism	2002	Dawn Prince Hughes	17	148
25	Songs of the gorilla nation	2004	Dawn Prince-Hughes	17	240
26	Chasing the Rabbit	2015	Derek Volk, Dylan Volk	19	275
27	From another planet: Autism from within	2002	Dominique Dumortier	9	109
28	Nobody Nowhere: The Remarkable Autobiography of an Autistic Girl	1998	Donna Williams	13	194
29	Like Colour to the Blind: Soul Searching and Soul Finding	1996	Donna Williams	12	236
30	Everyday Heaven: Journeys Beyond the Stereotypes of Autism	2004	Donna Williams	9	177
31	Autism and the Myth of the Person Alone	2005	Douglas Biklen, Richard Attfield, Larry Bissonnette, Lucy Blackman	12	293
32	Living in Two Worlds: On Being a Social Chameleon with Asperger’s	2016	Dylan Emmons	13	205
33	Living the Good Life with Autism	2002	Edgar Schneider	11	127
34	Discovering My Autism: Apologia Pro Vita Sua (With Apologies to Cardinal Newman)	1999	Edgar Schneider	12	126
35	Leaders Around Me: Autobiographies of Autistics who Type, Point, and Spell to Communicate	2019	Edlyn Vallejo Peña	11	129
36	Chameleon: An Asperger's Memoir	2019	Elizabeth Crawford	10	181
37	Autism, Anxiety and Me	2016	Emma Louise Bridge	6	109
